[RUN #0 5 10]
287 -126 -76 86 575
-264 -41 316 -160 24
-387 -793 166 291 -564
154 426 305 -536 -840
-478 719 193 -7 -565
455 901 -572 485 -842
-292 799 179 538 -742
287 610 273 -183 83
251 654 -137 467 90
412 -729 -106 -949 202
[RUN #1 5 10]
109 337 -874 448 133
453 588 601 908 -285
659 97 56 648 282
403 -13 817 287 -607
-798 360 585 279 -17
290 755 -989 138 744
171 -630 -983 524 358
-343 -74 -801 -100 811
374 -657 -130 -192 445
-359 222 -85 -491 -59
[RUN #2 5 10]
-780 -516 -403 -692 -712
-632 380 712 -972 1
-349 930 698 942 -74
245 260 -154 604 613
-116 410 912 181 -76
-355 -612 7 583 397
284 822 -999 782 659
-675 -704 -323 460 -861
752 96 -647 -148 794
699 198 28 211 384
